l27-11-2025 18:44:03 | Gold: 4154.005 | Silver: 53.2314
27-11-2025 18:50:10 | Gold: 4153.6675 | Silver: 53.1936
27-11-2025 19:01:03 | Gold: 4157.035 | Silver: 53.3675
28-11-2025 10:52:59 | Gold: 4157.435 | Silver: 54.0276
28-11-2025 11:00:04 | Gold: 4157.435 | Silver: 54.1285
28-11-2025 12:00:02 | Gold: 4157.435 | Silver: 53.4414
28-11-2025 13:00:01 | Gold: 4173.65 | Silver: 53.7355
28-11-2025 14:00:01 | Gold: 4182.835 | Silver: 54.1243
28-11-2025 15:00:01 | Gold: 4187.7 | Silver: 54.0776
28-11-2025 16:00:01 | Gold: 4174.78 | Silver: 53.0765
28-11-2025 17:00:01 | Gold: 4168.995 | Silver: 53.7375
28-11-2025 18:00:02 | Gold: 4162.93 | Silver: 53.6947
28-11-2025 19:00:01 | Gold: 4164.28 | Silver: 53.823
28-11-2025 20:00:01 | Gold: 4174.49 | Silver: 53.809
28-11-2025 21:00:01 | Gold: 4177.625 | Silver: 53.8867
28-11-2025 22:00:01 | Gold: 4182.145 | Silver: 54.2095
28-11-2025 23:00:01 | Gold:  | Silver: 
29-11-2025 00:00:01 | Gold: 4203.67 | Silver: 55.5715
29-11-2025 02:36:02 | Gold: 4221.415 | Silver: 56.434
29-11-2025 03:00:02 | Gold: 4220.105 | Silver: 56.526
29-11-2025 04:00:02 | Gold: 4212.915 | Silver: 56.7208
29-11-2025 05:00:02 | Gold: 4238.125 | Silver: 56.7242
29-11-2025 06:00:02 | Gold: 4219.225 | Silver: 56.7249
29-11-2025 07:00:01 | Gold:  | Silver: 
29-11-2025 08:00:01 | Gold: 4219.225 | Silver: 56.7249
29-11-2025 09:00:01 | Gold: 4219.225 | Silver: 56.7249
29-11-2025 10:00:02 | Gold: 4219.225 | Silver: 56.7249
29-11-2025 11:00:03 | Gold: 4219.225 | Silver: 56.7249
29-11-2025 12:00:03 | Gold: 4219.225 | Silver: 56.7249
29-11-2025 13:00:01 | Gold: 4219.225 | Silver: 56.7249
29-11-2025 14:00:01 | Gold: 4219.225 | Silver: 56.7249
29-11-2025 15:00:01 | Gold: 4219.225 | Silver: 56.7249
29-11-2025 16:00:01 | Gold: 4219.225 | Silver: 56.7249
29-11-2025 17:00:01 | Gold: 4219.225 | Silver: 56.7249
29-11-2025 18:00:01 | Gold: 4219.225 | Silver: 56.7249
29-11-2025 19:00:01 | Gold: 4219.225 | Silver: 56.7249
29-11-2025 20:00:01 | Gold: 4219.225 | Silver: 56.7249
29-11-2025 21:00:01 | Gold: 4219.225 | Silver: 56.7249
29-11-2025 22:00:01 | Gold: 4219.225 | Silver: 56.7249
29-11-2025 22:07:43 | Gold: 4219.225 | Silver: 56.7249
29-11-2025 22:11:49 | Gold: 4219.225 | Silver: 56.7249
30-11-2025 21:14:50 | Gold: 4219.225 | Silver: 56.7249
30-11-2025 22:00:01 | Gold: 4219.225 | Silver: 56.7249
30-11-2025 23:00:01 | Gold: 4219.225 | Silver: 56.7249
01-12-2025 00:00:01 | Gold: 4219.225 | Silver: 56.7249
01-12-2025 01:00:02 | Gold: 4219.225 | Silver: 56.7249
01-12-2025 02:00:01 | Gold:  | Silver: 
01-12-2025 03:00:02 | Gold:  | Silver: 
01-12-2025 04:00:01 | Gold:  | Silver: 
01-12-2025 05:00:01 | Gold: 4219.225 | Silver: 56.7249
01-12-2025 06:00:01 | Gold: 4219.225 | Silver: 56.7249
01-12-2025 07:00:01 | Gold: 4219.225 | Silver: 56.7249
01-12-2025 08:00:01 | Gold: 4224.71 | Silver: 57.0075
01-12-2025 09:00:01 | Gold: 4231.62 | Silver: 57.4405
01-12-2025 10:00:01 | Gold: 4254.83 | Silver: 57.839
